First Name,Last Name,Email,DOB,SID,Grade,Gender,Ethnicity
Lamar,Galloway,lamargalloway@test.yoop.ly,8/10/1997,1111577,3,F,Japanese
Idona,Trevino,idonatrevino@test.yoop.ly,5/26/1996,1842816,4,F,Japanese
Rana,Orr,ranaorr@test.yoop.ly,8/21/1997,1589475,3,F,African American
Ezra,Morales,ezramorales@test.yoop.ly,8/20/1996,1488050,4,M,Japanese
Christine,Williams,christinewilliams@test.yoop.ly,4/3/1996,1924610,1,F,Korean
Yen,Schwartz,yenschwartz@test.yoop.ly,4/9/1999,1346130,5,F,Hispanic
Garrett,Lewis,garrettlewis@test.yoop.ly,4/21/1996,1214025,3,F,Korean
Rosalyn,Dunlap,rosalyndunlap@test.yoop.ly,5/14/1997,1318719,5,M,Korean
Suki,French,sukifrench@test.yoop.ly,3/20/1998,1371557,1,F,Japanese
Leroy,Huber,leroyhuber@test.yoop.ly,7/9/1996,1937876,1,M,African American
Vielka,Weiss,vielkaweiss@test.yoop.ly,10/30/1995,1040661,1,M,White
Joshua,Mcintosh,joshuamcintosh@test.yoop.ly,1/14/1995,1676277,5,F,Japanese
Ciara,Peterson,ciarapeterson@test.yoop.ly,2/7/1998,1162967,2,M,Hispanic
Adam,Mcintyre,adammcintyre@test.yoop.ly,1/7/1995,1706176,1,F,Hispanic
Jonah,Barnes,jonahbarnes@test.yoop.ly,12/14/1994,1676199,2,F,Japanese
Elvis,Hooper,elvishooper@test.yoop.ly,6/4/1996,1714950,1,M,African American
Myra,Preston,myrapreston@test.yoop.ly,9/2/1997,1910652,3,M,Chinese
Ariana,Bennett,arianabennett@test.yoop.ly,11/18/1994,1521858,4,M,Korean
Hall,Marks,hallmarks@test.yoop.ly,6/15/1997,1665171,3,F,African American
Karleigh,Cox,karleighcox@test.yoop.ly,12/9/1996,1841845,2,F,White
Cade,Small,cadesmall@test.yoop.ly,1/25/1998,1853485,4,M,Korean
Warren,Larson,warrenlarson@test.yoop.ly,3/30/1996,1338479,3,F,Hispanic
Indira,Carr,indiracarr@test.yoop.ly,7/29/1997,1384272,5,M,White
Holly,Mcfarland,hollymcfarland@test.yoop.ly,12/29/1994,1044686,1,M,African American
Roth,Hunter,rothhunter@test.yoop.ly,5/22/1995,1286923,5,M,Hispanic
Jackson,Roach,jacksonroach@test.yoop.ly,6/30/1995,1467175,3,M,African American
Griffin,Whitaker,griffinwhitaker@test.yoop.ly,5/25/1999,1754211,1,F,African American
Dakota,Reed,dakotareed@test.yoop.ly,9/16/1994,1414819,5,F,Korean
Zachary,Bird,zacharybird@test.yoop.ly,3/22/1995,1057602,2,M,White
Amir,Hansen,amirhansen@test.yoop.ly,3/3/1996,1592826,1,M,Japanese
Jordan,Jensen,jordanjensen@test.yoop.ly,4/25/1998,1415408,2,M,Chinese
Rylee,Allen,ryleeallen@test.yoop.ly,5/18/1998,1704424,2,F,Chinese
Shana,Erickson,shanaerickson@test.yoop.ly,8/31/1996,1487475,3,F,White
Nero,Carpenter,nerocarpenter@test.yoop.ly,1/7/1996,1243503,3,F,Hispanic
Adele,Luna,adeleluna@test.yoop.ly,3/1/1998,1138552,4,M,Chinese
Ira,Schmidt,iraschmidt@test.yoop.ly,4/5/1996,1873591,1,F,Korean
Perry,Mercado,perrymercado@test.yoop.ly,7/9/1998,1057209,5,F,Japanese
Tanek,Downs,tanekdowns@test.yoop.ly,6/26/1995,1749740,2,F,Korean
Elliott,Preston,elliottpreston@test.yoop.ly,8/23/1998,1135445,2,M,African American
Armand,Fowler,armandfowler@test.yoop.ly,7/2/1998,1649849,3,M,African American
Benedict,Whitney,benedictwhitney@test.yoop.ly,1/12/1998,1058887,4,M,Chinese
Kimberly,Chavez,kimberlychavez@test.yoop.ly,3/23/1998,1218116,3,M,Chinese
Oscar,Jackson,oscarjackson@test.yoop.ly,4/7/1998,1255979,2,M,Chinese
Yetta,Dillard,yettadillard@test.yoop.ly,6/27/1995,1698476,1,M,Hispanic
John,Vaughan,johnvaughan@test.yoop.ly,3/17/1999,1369869,5,F,Japanese
Joan,Bentley,joanbentley@test.yoop.ly,8/26/1998,1189846,3,M,Korean
Hashim,James,hashimjames@test.yoop.ly,10/27/1994,1594187,1,M,Japanese
Rahim,Santos,rahimsantos@test.yoop.ly,7/14/1997,1832370,4,F,Japanese
Hollee,Sloan,holleesloan@test.yoop.ly,5/31/1998,1553326,2,F,African American
Indira,Alexander,indiraalexander@test.yoop.ly,10/12/1995,1421490,1,F,Chinese
Alan,Le,alanle@test.yoop.ly,4/19/1995,1004722,1,M,Japanese
Halee,Davenport,haleedavenport@test.yoop.ly,7/15/1996,1968498,2,F,Korean
Ezra,Brady,ezrabrady@test.yoop.ly,7/3/1995,1952153,1,F,Hispanic
Gage,Davenport,gagedavenport@test.yoop.ly,11/10/1998,1311812,2,M,White
Keane,Gay,keanegay@test.yoop.ly,4/22/1998,1865053,2,M,Korean
Gemma,Randall,gemmarandall@test.yoop.ly,5/23/1996,1209954,3,F,African American
Zoe,Castro,zoecastro@test.yoop.ly,12/11/1996,1598836,3,F,White
Griffith,Vance,griffithvance@test.yoop.ly,1/15/1999,1819124,5,F,Chinese
Ezekiel,Owen,ezekielowen@test.yoop.ly,10/28/1994,1427721,3,F,Chinese
Amela,Waller,amelawaller@test.yoop.ly,4/2/1998,1653128,5,M,Chinese
Ethan,Taylor,ethantaylor@test.yoop.ly,3/12/1999,1201353,2,F,White
Gabriel,Buchanan,gabrielbuchanan@test.yoop.ly,3/28/1995,1016139,1,M,African American
Veda,Clarke,vedaclarke@test.yoop.ly,5/11/1995,1134678,3,M,White
Vance,Kelly,vancekelly@test.yoop.ly,6/29/1996,1432858,4,M,African American
India,Gonzales,indiagonzales@test.yoop.ly,1/16/1996,1958263,3,M,Japanese
Allistair,Bishop,allistairbishop@test.yoop.ly,12/20/1996,1197572,5,M,White
Karleigh,Nunez,karleighnunez@test.yoop.ly,6/27/1999,1140529,4,F,White
Janna,Conley,jannaconley@test.yoop.ly,12/30/1994,1147155,5,M,White
Chaim,Wells,chaimwells@test.yoop.ly,3/10/1997,1798686,5,M,White
Oren,Goff,orengoff@test.yoop.ly,2/26/1995,1974315,4,M,Japanese
Aretha,Solis,arethasolis@test.yoop.ly,2/28/1998,1113408,1,F,Japanese
Tyrone,Baldwin,tyronebaldwin@test.yoop.ly,12/24/1997,1377930,3,F,Korean
Drew,Morgan,drewmorgan@test.yoop.ly,6/1/1996,1121846,1,M,Chinese
Quintessa,Mckenzie,quintessamckenzie@test.yoop.ly,1/16/1996,1119119,1,M,Korean
Luke,Daniel,lukedaniel@test.yoop.ly,7/9/1997,1878407,5,F,White
Irma,Moreno,irmamoreno@test.yoop.ly,10/13/1994,1132609,1,M,White
Aubrey,Baldwin,aubreybaldwin@test.yoop.ly,4/3/1995,1698291,1,M,Hispanic
Lesley,Montgomery,lesleymontgomery@test.yoop.ly,11/24/1994,1910936,4,M,Korean
Raven,Frazier,ravenfrazier@test.yoop.ly,7/13/1995,1727063,4,M,White
Ila,Salas,ilasalas@test.yoop.ly,11/15/1998,1947981,2,F,Korean
Jolie,Campos,joliecampos@test.yoop.ly,3/24/1996,1240030,2,M,African American
Rae,Silva,raesilva@test.yoop.ly,6/6/1995,1726593,3,M,Japanese
Constance,Mccarthy,constancemccarthy@test.yoop.ly,10/28/1995,1570080,4,F,Korean
Reed,Mueller,reedmueller@test.yoop.ly,10/2/1998,1199734,2,M,Korean
Kylie,Ayers,kylieayers@test.yoop.ly,2/19/1996,1590680,4,M,Hispanic
Griffin,Howe,griffinhowe@test.yoop.ly,5/3/1999,1019021,4,F,Japanese
Aimee,Gaines,aimeegaines@test.yoop.ly,8/27/1994,1900958,5,F,Japanese
Lisandra,Cameron,lisandracameron@test.yoop.ly,7/7/1995,1609095,3,M,White
Mona,Ortega,monaortega@test.yoop.ly,9/16/1994,1576818,4,M,Korean
Willa,Beard,willabeard@test.yoop.ly,11/25/1995,1566984,4,M,Hispanic
Vera,Mueller,veramueller@test.yoop.ly,8/11/1997,1412288,3,F,Chinese
Eaton,Barber,eatonbarber@test.yoop.ly,4/17/1999,1608604,2,F,Hispanic
Kylan,Ramos,kylanramos@test.yoop.ly,10/8/1995,1595065,4,M,African American
Ferris,Hodges,ferrishodges@test.yoop.ly,3/31/1998,1847429,3,M,African American
Tatiana,Fry,tatianafry@test.yoop.ly,1/18/1996,1862796,5,F,Chinese
Edward,Lewis,edwardlewis@test.yoop.ly,4/8/1997,1052941,1,M,Japanese
Bruce,Shepherd,bruceshepherd@test.yoop.ly,3/6/1996,1682570,1,M,White
Cullen,Preston,cullenpreston@test.yoop.ly,1/27/1996,1705228,5,M,White
Clare,Mccormick,claremccormick@test.yoop.ly,5/5/1997,1233797,2,M,Korean
Taylor,Valdez,taylorvaldez@test.yoop.ly,6/28/1997,1703787,4,M,African American
Wynne,Burns,wynneburns@test.yoop.ly,9/13/1995,1489372,2,F,Korean
Elizabeth,Hudson,elizabethhudson@test.yoop.ly,11/19/1998,1562825,1,F,Chinese
Lyle,Spence,lylespence@test.yoop.ly,7/15/1995,1230617,5,M,Chinese
Willa,Wilcox,willawilcox@test.yoop.ly,9/11/1996,1075024,5,F,African American
Melissa,Ortega,melissaortega@test.yoop.ly,2/7/1999,1215127,3,F,Hispanic
Serina,Butler,serinabutler@test.yoop.ly,6/19/1999,1522071,4,F,Chinese
Hector,Boone,hectorboone@test.yoop.ly,3/15/1997,1500983,1,F,African American
Jacob,Johns,jacobjohns@test.yoop.ly,2/4/1998,1619079,1,M,Chinese
Jacqueline,Goff,jacquelinegoff@test.yoop.ly,10/22/1998,1590146,3,M,Hispanic
Pamela,Buckner,pamelabuckner@test.yoop.ly,12/16/1995,1374250,2,M,Chinese
Ciara,Burks,ciaraburks@test.yoop.ly,1/26/1998,1645441,5,M,Japanese
Derek,Garcia,derekgarcia@test.yoop.ly,9/28/1998,1834509,5,F,Japanese
Macey,Brewer,maceybrewer@test.yoop.ly,5/2/1999,1580630,2,F,Korean
Nigel,Glenn,nigelglenn@test.yoop.ly,2/16/1997,1214860,1,F,Korean
Halla,Clark,hallaclark@test.yoop.ly,11/15/1994,1021839,4,F,White
Jordan,Fischer,jordanfischer@test.yoop.ly,11/23/1994,1998482,5,F,Korean
Emi,Hunt,emihunt@test.yoop.ly,4/20/1996,1161759,3,F,White
Ainsley,Lewis,ainsleylewis@test.yoop.ly,8/15/1994,1050274,2,F,White
Sophia,Small,sophiasmall@test.yoop.ly,10/2/1994,1183571,3,F,Korean
Violet,Gibson,violetgibson@test.yoop.ly,8/10/1998,1348181,2,M,Japanese
Dean,Holman,deanholman@test.yoop.ly,3/5/1995,1767262,2,F,Japanese
Noah,Rocha,noahrocha@test.yoop.ly,3/12/1995,1012035,5,F,White
Ira,Talley,iratalley@test.yoop.ly,4/17/1997,1944908,1,F,Japanese
Sierra,Blankenship,sierrablankenship@test.yoop.ly,6/8/1998,1259715,5,F,Japanese
Alden,Nicholson,aldennicholson@test.yoop.ly,12/19/1996,1369151,4,M,Korean
Laith,Finch,laithfinch@test.yoop.ly,4/28/1995,1463536,1,M,African American
Jameson,Woods,jamesonwoods@test.yoop.ly,9/6/1997,1483954,4,M,Korean
Xaviera,Miranda,xavieramiranda@test.yoop.ly,9/28/1997,1439333,5,M,White
Emmanuel,Rowe,emmanuelrowe@test.yoop.ly,11/26/1998,1709712,4,M,African American
Grady,Cooke,gradycooke@test.yoop.ly,10/9/1997,1178890,5,M,Chinese
Rose,Rosa,roserosa@test.yoop.ly,4/20/1999,1365209,4,M,White
Leroy,Barlow,leroybarlow@test.yoop.ly,6/1/1998,1812941,2,F,Korean
Hunter,Higgins,hunterhiggins@test.yoop.ly,10/1/1996,1645472,3,F,Chinese
Alana,Bowman,alanabowman@test.yoop.ly,10/4/1998,1795710,3,M,White
Neve,Hawkins,nevehawkins@test.yoop.ly,12/29/1997,1679126,5,F,Japanese
Sigourney,Aguilar,sigourneyaguilar@test.yoop.ly,12/2/1996,1820915,2,F,Chinese
Nell,Harvey,nellharvey@test.yoop.ly,7/7/1997,1860550,3,M,African American
Raymond,Chan,raymondchan@test.yoop.ly,3/22/1999,1975828,1,M,African American
Cailin,Bradshaw,cailinbradshaw@test.yoop.ly,1/20/1999,1195964,5,M,Korean
Stuart,Arnold,stuartarnold@test.yoop.ly,11/14/1996,1674173,5,M,Chinese
Upton,Wise,uptonwise@test.yoop.ly,9/26/1996,1254352,2,F,Korean
Isaac,Warren,isaacwarren@test.yoop.ly,7/27/1994,1479465,1,M,White
Knox,Mckinney,knoxmckinney@test.yoop.ly,8/3/1996,1723694,4,M,Korean
Sheila,Noel,sheilanoel@test.yoop.ly,5/6/1997,1969554,2,M,Chinese
Brennan,Walters,brennanwalters@test.yoop.ly,8/9/1994,1712232,3,F,Korean
Maite,Logan,maitelogan@test.yoop.ly,10/27/1997,1427094,1,M,White
Wylie,Collier,wyliecollier@test.yoop.ly,10/23/1996,1588226,2,F,Japanese
Melyssa,Vasquez,melyssavasquez@test.yoop.ly,7/23/1997,1742705,5,M,Chinese
Florence,Logan,florencelogan@test.yoop.ly,8/18/1998,1884567,4,M,Hispanic
Cally,Mccormick,callymccormick@test.yoop.ly,9/29/1996,1032419,1,M,Hispanic
Aurora,Foley,aurorafoley@test.yoop.ly,4/2/1999,1671935,1,F,Hispanic
Orson,Burnett,orsonburnett@test.yoop.ly,5/2/1995,1053201,5,F,White
Madonna,Shaffer,madonnashaffer@test.yoop.ly,11/19/1994,1577797,4,M,Japanese
Ezekiel,Eaton,ezekieleaton@test.yoop.ly,1/10/1996,1837504,4,F,Korean
Ann,Barry,annbarry@test.yoop.ly,2/28/1997,1054225,2,M,Japanese
Eric,Good,ericgood@test.yoop.ly,4/3/1996,1344770,4,M,Chinese
Melanie,Mclaughlin,melaniemclaughlin@test.yoop.ly,4/4/1998,1660168,4,F,Japanese
Iris,Henson,irishenson@test.yoop.ly,4/8/1997,1877886,4,M,Hispanic
Paula,Lambert,paulalambert@test.yoop.ly,10/22/1996,1296421,3,M,Hispanic
Ginger,Snyder,gingersnyder@test.yoop.ly,7/30/1996,1256757,1,M,White
Denise,Gibbs,denisegibbs@test.yoop.ly,3/7/1995,1867347,3,F,Chinese
Colton,Boyer,coltonboyer@test.yoop.ly,11/15/1996,1542840,3,F,Hispanic
Daria,Ellison,dariaellison@test.yoop.ly,10/11/1994,1537386,4,M,African American
Illana,Wilder,illanawilder@test.yoop.ly,3/16/1997,1309150,2,F,Chinese
Troy,Solomon,troysolomon@test.yoop.ly,3/17/1998,1137190,5,F,African American
Cadman,York,cadmanyork@test.yoop.ly,9/5/1994,1823952,3,M,Japanese
Phillip,Leblanc,phillipleblanc@test.yoop.ly,6/11/1996,1251394,5,F,Chinese
Hadley,Shepard,hadleyshepard@test.yoop.ly,7/12/1994,1150151,2,M,Chinese
Octavia,Miller,octaviamiller@test.yoop.ly,9/26/1995,1367238,4,F,Korean
Dustin,Phillips,dustinphillips@test.yoop.ly,1/12/1995,1908681,5,M,Korean
Hollee,Whitfield,holleewhitfield@test.yoop.ly,10/7/1996,1690355,2,F,Chinese
Lunea,Griffith,luneagriffith@test.yoop.ly,4/10/1997,1109744,4,F,Hispanic
Keiko,Terry,keikoterry@test.yoop.ly,3/2/1995,1554320,1,F,White
Cassidy,Figueroa,cassidyfigueroa@test.yoop.ly,2/6/1998,1675369,3,M,Chinese
Ryder,Ellison,ryderellison@test.yoop.ly,7/1/1996,1783974,3,M,Chinese
Cullen,Mcconnell,cullenmcconnell@test.yoop.ly,11/7/1995,1805760,1,F,Korean
Dylan,Young,dylanyoung@test.yoop.ly,11/9/1998,1476037,2,M,Korean
Guinevere,Frazier,guineverefrazier@test.yoop.ly,11/20/1996,1368847,1,F,Hispanic
Daria,Reeves,dariareeves@test.yoop.ly,2/8/1998,1019070,5,M,Hispanic
Lee,Hebert,leehebert@test.yoop.ly,4/18/1995,1569475,2,M,Chinese
Zorita,Carver,zoritacarver@test.yoop.ly,6/13/1998,1850760,5,M,White
Philip,Nicholson,philipnicholson@test.yoop.ly,7/4/1997,1788473,1,M,Korean
Damon,Bradford,damonbradford@test.yoop.ly,11/24/1995,1955991,5,M,Japanese
Clark,Cortez,clarkcortez@test.yoop.ly,11/15/1998,1124985,2,F,White
Zenia,Holcomb,zeniaholcomb@test.yoop.ly,2/13/1995,1911227,3,M,White
Elijah,Mcmahon,elijahmcmahon@test.yoop.ly,7/6/1996,1741184,2,F,Japanese
Jael,Curry,jaelcurry@test.yoop.ly,12/27/1996,1697151,5,F,White
Cullen,Acosta,cullenacosta@test.yoop.ly,9/12/1996,1390560,2,M,White
Kennan,Stephens,kennanstephens@test.yoop.ly,3/12/1996,1603836,5,M,Japanese
Hanae,Richmond,hanaerichmond@test.yoop.ly,5/11/1998,1114746,1,M,White
Sonya,Riggs,sonyariggs@test.yoop.ly,4/20/1997,1516974,1,M,Chinese
Allen,Armstrong,allenarmstrong@test.yoop.ly,8/29/1997,1652523,3,F,White
Herrod,Phillips,herrodphillips@test.yoop.ly,12/2/1994,1905659,4,F,African American
Hiram,Valencia,hiramvalencia@test.yoop.ly,11/10/1998,1268739,5,M,Chinese
Chandler,Leach,chandlerleach@test.yoop.ly,10/26/1997,1192855,2,F,Chinese
Maile,Hancock,mailehancock@test.yoop.ly,8/2/1996,1104322,4,F,White
Tanisha,Martinez,tanishamartinez@test.yoop.ly,1/8/1996,1753057,1,M,African American
Leila,Bray,leilabray@test.yoop.ly,7/30/1994,1514928,5,F,Chinese
Emma,Perkins,emmaperkins@test.yoop.ly,11/4/1996,1694292,5,M,Korean
Melissa,Frye,melissafrye@test.yoop.ly,9/19/1998,1879101,3,M,Japanese
Robert,Jacobson,robertjacobson@test.yoop.ly,1/24/1997,1478273,3,F,White
Justina,Cantu,justinacantu@test.yoop.ly,8/26/1997,1996654,5,F,Hispanic
Barclay,Torres,barclaytorres@test.yoop.ly,7/17/1995,1093189,4,M,Hispanic
Dustin,Mooney,dustinmooney@test.yoop.ly,10/4/1998,1320883,3,M,White
Paula,Matthews,paulamatthews@test.yoop.ly,4/7/1997,1517305,1,M,African American
Rudyard,Ramos,rudyardramos@test.yoop.ly,6/13/1998,1129252,1,M,African American
Lilah,Sparks,lilahsparks@test.yoop.ly,2/12/1995,1080284,4,F,Chinese
Richard,Collier,richardcollier@test.yoop.ly,6/17/1996,1359791,1,M,Korean
Xavier,Snyder,xaviersnyder@test.yoop.ly,5/3/1995,1171185,2,M,Chinese
Xander,Contreras,xandercontreras@test.yoop.ly,9/1/1996,1084782,5,M,Hispanic
Plato,Forbes,platoforbes@test.yoop.ly,6/8/1997,1325559,2,M,Chinese
Honorato,Stokes,honoratostokes@test.yoop.ly,10/11/1995,1772657,3,M,African American
Clark,Massey,clarkmassey@test.yoop.ly,9/27/1994,1142190,1,F,Korean
Demetrius,Hebert,demetriushebert@test.yoop.ly,4/30/1999,1532820,4,M,African American
Brent,Whitney,brentwhitney@test.yoop.ly,4/6/1999,1382529,4,F,Hispanic
Curran,Payne,curranpayne@test.yoop.ly,4/11/1999,1566232,5,M,White
Jamal,Maynard,jamalmaynard@test.yoop.ly,3/5/1996,1630536,1,M,Japanese
Julian,Weaver,julianweaver@test.yoop.ly,11/10/1994,1443566,1,M,Japanese
Jasper,Shannon,jaspershannon@test.yoop.ly,11/22/1997,1077382,2,M,Hispanic
Dillon,Nielsen,dillonnielsen@test.yoop.ly,11/3/1996,1997409,3,F,Chinese
Ciara,Booker,ciarabooker@test.yoop.ly,8/9/1994,1317291,5,F,Korean
Sierra,Fox,sierrafox@test.yoop.ly,9/18/1997,1084314,4,M,African American
Joseph,Carver,josephcarver@test.yoop.ly,1/16/1995,1796147,2,M,Chinese
McKenzie,Boyer,mckenzieboyer@test.yoop.ly,3/4/1997,1843293,1,F,Hispanic
Cameran,Berry,cameranberry@test.yoop.ly,11/27/1996,1579987,2,F,Korean
Thor,Fischer,thorfischer@test.yoop.ly,1/16/1995,1451681,4,M,Japanese
Omar,Fox,omarfox@test.yoop.ly,7/2/1995,1668940,1,F,African American
Nevada,Sweeney,nevadasweeney@test.yoop.ly,9/16/1994,1667684,5,M,Hispanic
Jeanette,Barton,jeanettebarton@test.yoop.ly,4/20/1996,1292267,3,M,White
Jessamine,Walter,jessaminewalter@test.yoop.ly,9/20/1997,1474652,5,M,Korean
Xena,Morales,xenamorales@test.yoop.ly,11/1/1995,1948116,5,M,Korean
Kelly,Gregory,kellygregory@test.yoop.ly,5/9/1998,1978505,3,F,Chinese
Galvin,Sharpe,galvinsharpe@test.yoop.ly,2/6/1999,1994966,1,M,Korean
Keely,Edwards,keelyedwards@test.yoop.ly,12/27/1997,1956693,4,F,Chinese
Thane,Travis,thanetravis@test.yoop.ly,2/5/1995,1637420,5,M,Chinese
Jenette,Guy,jenetteguy@test.yoop.ly,3/22/1995,1322687,1,M,Chinese
Lee,Wise,leewise@test.yoop.ly,2/17/1995,1641330,2,F,Japanese
Darryl,Crawford,darrylcrawford@test.yoop.ly,1/5/1996,1187990,5,M,African American
Keegan,Browning,keeganbrowning@test.yoop.ly,4/20/1996,1161884,3,F,Japanese
Amos,Pittman,amospittman@test.yoop.ly,7/30/1998,1182734,2,F,African American
Colton,Maldonado,coltonmaldonado@test.yoop.ly,1/15/1995,1802783,4,M,Chinese
Gillian,Gilbert,gilliangilbert@test.yoop.ly,8/8/1996,1030931,2,F,Korean
Timon,Weaver,timonweaver@test.yoop.ly,9/16/1994,1063256,2,M,Korean
Dorothy,Mckinney,dorothymckinney@test.yoop.ly,10/22/1998,1677192,5,M,Korean
Wallace,Ellis,wallaceellis@test.yoop.ly,12/9/1997,1201515,4,F,African American
Daquan,Pratt,daquanpratt@test.yoop.ly,7/16/1998,1335620,4,F,Korean
Jelani,Yates,jelaniyates@test.yoop.ly,2/25/1999,1077956,5,M,Japanese
Indigo,Herman,indigoherman@test.yoop.ly,10/24/1994,1769963,3,F,Japanese
Eugenia,Leblanc,eugenialeblanc@test.yoop.ly,12/18/1998,1656336,1,M,Hispanic
Macy,Vance,macyvance@test.yoop.ly,9/7/1995,1403787,4,F,Hispanic
Illiana,Allison,illianaallison@test.yoop.ly,7/5/1997,1593893,5,F,Korean
Sawyer,Patel,sawyerpatel@test.yoop.ly,6/5/1996,1295469,1,M,Japanese
Jamal,Burks,jamalburks@test.yoop.ly,9/20/1998,1377450,1,M,Chinese
Montana,Howard,montanahoward@test.yoop.ly,1/19/1998,1852056,5,M,Chinese
Hiram,Hewitt,hiramhewitt@test.yoop.ly,7/28/1996,1856759,1,F,Hispanic
Demetrius,Mccray,demetriusmccray@test.yoop.ly,2/2/1999,1053857,3,M,African American
Veda,Beasley,vedabeasley@test.yoop.ly,5/22/1995,1293038,5,M,White
