First Name,Last Name,Email,DOB,SID,Grade,Gender,Ethnicity
Elvis,Hooper,mauris.blandit@CuraePhasellus.com,6/4/1996,1714950,1,M,African American
Myra,Preston,lacus.Mauris.non@sit.ca,9/2/1997,1910652,3,M,Chinese
Ariana,Bennett,ante.blandit@magna.co.uk,11/18/1994,1521858,4,M,Korean
Hall,Marks,ullamcorper@est.net,6/15/1997,1665171,3,F,African American
Karleigh,Cox,purus.ac@semutdolor.org,12/9/1996,1841845,2,F,White
Cade,Small,accumsan.convallis.ante@egestasFuscealiquet.co.uk,1/25/1998,1853485,4,M,Korean
Warren,Larson,ut@Pellentesqueut.ca,3/30/1996,1338479,3,F,Hispanic
Indira,Carr,nonummy.ultricies.ornare@penatibuset.edu,7/29/1997,1384272,5,M,White
Holly,Mcfarland,Phasellus@nuncac.ca,12/29/1994,1044686,1,M,African American
Roth,Hunter,luctus.sit@musProinvel.ca,5/22/1995,1286923,5,M,Hispanic
Jackson,Roach,arcu.Vivamus@eulacusQuisque.org,6/30/1995,1467175,3,M,African American
Griffin,Whitaker,sem.Nulla.interdum@viverra.co.uk,5/25/1999,1754211,1,F,African American
Dakota,Reed,nunc@dolorNullasemper.org,9/16/1994,1414819,5,F,Korean
Zachary,Bird,semper.dui.lectus@eueleifend.org,3/22/1995,1057602,2,M,White
Amir,Hansen,libero.at@gravida.net,3/3/1996,1592826,1,M,Japanese
Jordan,Jensen,ante@dolor.ca,4/25/1998,1415408,2,M,Chinese
Rylee,Allen,ultrices.Vivamus.rhoncus@necurnaet.org,5/18/1998,1704424,2,F,Chinese
Shana,Erickson,neque.Nullam.ut@magna.ca,8/31/1996,1487475,3,F,White
Nero,Carpenter,tellus.non@vulputate.edu,1/7/1996,1243503,3,F,Hispanic
Adele,Luna,massa.lobortis.ultrices@augueeutempor.edu,3/1/1998,1138552,4,M,Chinese
Ira,Schmidt,Nulla@risusquisdiam.edu,4/5/1996,1873591,1,F,Korean
Perry,Mercado,dui@Etiamligulatortor.com,7/9/1998,1057209,5,F,Japanese
Tanek,Downs,tempus.eu.ligula@Suspendissetristique.edu,6/26/1995,1749740,2,F,Korean
Elliott,Preston,justo@mi.ca,8/23/1998,1135445,2,M,African American
Armand,Fowler,rhoncus.Nullam.velit@Aliquamadipiscing.ca,7/2/1998,1649849,3,M,African American
Benedict,Whitney,metus.Aliquam@ligulatortor.net,1/12/1998,1058887,4,M,Chinese
Kimberly,Chavez,velit@lobortisnisi.edu,3/23/1998,1218116,3,M,Chinese
Oscar,Jackson,luctus.lobortis@Curabitur.net,4/7/1998,1255979,2,M,Chinese
Yetta,Dillard,gravida.nunc.sed@feugiatSed.edu,6/27/1995,1698476,1,M,Hispanic
John,Vaughan,nonummy@nec.ca,3/17/1999,1369869,5,F,Japanese
Joan,Bentley,sagittis.semper.Nam@accumsanneque.net,8/26/1998,1189846,3,M,Korean
Hashim,James,sem@eu.com,10/27/1994,1594187,1,M,Japanese
Rahim,Santos,cursus.vestibulum@at.org,7/14/1997,1832370,4,F,Japanese
Hollee,Sloan,Integer.vitae.nibh@sed.co.uk,5/31/1998,1553326,2,F,African American
Indira,Alexander,elit.pellentesque@cursusa.org,10/12/1995,1421490,1,F,Chinese
Alan,Le,volutpat.Nulla@nequevitae.edu,4/19/1995,1004722,1,M,Japanese
Halee,Davenport,auctor.velit.eget@liberoest.co.uk,7/15/1996,1968498,2,F,Korean
Ezra,Brady,lobortis.quis.pede@ametante.co.uk,7/3/1995,1952153,1,F,Hispanic
Gage,Davenport,risus@dolordapibusgravida.org,11/10/1998,1311812,2,M,White
Keane,Gay,lacus@odioNaminterdum.co.uk,4/22/1998,1865053,2,M,Korean
Gemma,Randall,In@facilisisSuspendisse.co.uk,5/23/1996,1209954,3,F,African American
Zoe,Castro,at@Phasellus.com,12/11/1996,1598836,3,F,White
Griffith,Vance,odio.sagittis@molestieorcitincidunt.org,1/15/1999,1819124,5,F,Chinese
Ezekiel,Owen,nec@lectusasollicitudin.org,10/28/1994,1427721,3,F,Chinese
Amela,Waller,risus.varius@vel.ca,4/2/1998,1653128,5,M,Chinese
Ethan,Taylor,tincidunt@pedeSuspendisse.net,3/12/1999,1201353,2,F,White
Gabriel,Buchanan,quis.arcu@sapienAenean.co.uk,3/28/1995,1016139,1,M,African American
Veda,Clarke,Proin.velit@velturpisAliquam.co.uk,5/11/1995,1134678,3,M,White
Vance,Kelly,odio.sagittis@erat.co.uk,6/29/1996,1432858,4,M,African American
India,Gonzales,enim.nec.tempus@sitamet.edu,1/16/1996,1958263,3,M,Japanese
Allistair,Bishop,tellus.justo@elit.ca,12/20/1996,1197572,5,M,White
Karleigh,Nunez,at@semPellentesque.net,6/27/1999,1140529,4,F,White
Janna,Conley,eros@turpisnecmauris.edu,12/30/1994,1147155,5,M,White
Chaim,Wells,magnis.dis.parturient@nunc.edu,3/10/1997,1798686,5,M,White
Oren,Goff,lacus.varius@enim.org,2/26/1995,1974315,4,M,Japanese
Aretha,Solis,lobortis.augue@odiosagittis.org,2/28/1998,1113408,1,F,Japanese
Tyrone,Baldwin,sodales.elit@nibhlaciniaorci.com,12/24/1997,1377930,3,F,Korean
Drew,Morgan,diam.Duis@feugiattelluslorem.org,6/1/1996,1121846,1,M,Chinese
Quintessa,Mckenzie,enim.diam.vel@sociis.com,1/16/1996,1119119,1,M,Korean
Luke,Daniel,ornare.lectus@magnaCrasconvallis.net,7/9/1997,1878407,5,F,White
Irma,Moreno,quam@Vivamusnonlorem.co.uk,10/13/1994,1132609,1,M,White
Aubrey,Baldwin,vehicula@dapibusrutrum.co.uk,4/3/1995,1698291,1,M,Hispanic
Lesley,Montgomery,nulla.In.tincidunt@lobortis.edu,11/24/1994,1910936,4,M,Korean
Raven,Frazier,Sed.nec.metus@Quisquelibero.org,7/13/1995,1727063,4,M,White
Ila,Salas,enim.nisl@sitamet.co.uk,11/15/1998,1947981,2,F,Korean
Jolie,Campos,ultrices.Vivamus@sitametdiam.org,3/24/1996,1240030,2,M,African American
Rae,Silva,lorem.ipsum@necante.edu,6/6/1995,1726593,3,M,Japanese
Constance,Mccarthy,posuere.at.velit@liberoProin.edu,10/28/1995,1570080,4,F,Korean
Reed,Mueller,commodo.hendrerit.Donec@tinciduntnuncac.org,10/2/1998,1199734,2,M,Korean
Kylie,Ayers,elit@etlibero.ca,2/19/1996,1590680,4,M,Hispanic
Griffin,Howe,sit.amet@Nam.com,5/3/1999,1019021,4,F,Japanese
Aimee,Gaines,lectus.pede.et@mollis.net,8/27/1994,1900958,5,F,Japanese
Lisandra,Cameron,sem@magnaPraesentinterdum.com,7/7/1995,1609095,3,M,White
Mona,Ortega,Sed@risusDonec.ca,9/16/1994,1576818,4,M,Korean
Willa,Beard,in.faucibus.orci@semperauctorMauris.co.uk,11/25/1995,1566984,4,M,Hispanic
Vera,Mueller,purus@dictum.net,8/11/1997,1412288,3,F,Chinese
Eaton,Barber,Proin.eget.odio@faucibus.edu,4/17/1999,1608604,2,F,Hispanic
Kylan,Ramos,turpis.Nulla@Donecporttitortellus.com,10/8/1995,1595065,4,M,African American
Ferris,Hodges,Suspendisse@magna.org,3/31/1998,1847429,3,M,African American
Tatiana,Fry,cursus.Integer@Cumsociisnatoque.co.uk,1/18/1996,1862796,5,F,Chinese
Edward,Lewis,dui.Fusce.diam@est.edu,4/8/1997,1052941,1,M,Japanese
Bruce,Shepherd,erat.nonummy@sedsapienNunc.org,3/6/1996,1682570,1,M,White
Cullen,Preston,amet@nunc.net,1/27/1996,1705228,5,M,White
Clare,Mccormick,libero.at.auctor@consectetueradipiscing.com,5/5/1997,1233797,2,M,Korean
Taylor,Valdez,a@laciniavitae.co.uk,6/28/1997,1703787,4,M,African American
Wynne,Burns,nulla.Integer.vulputate@turpisegestas.ca,9/13/1995,1489372,2,F,Korean
Elizabeth,Hudson,pede.Cum.sociis@estacfacilisis.ca,11/19/1998,1562825,1,F,Chinese
Lyle,Spence,mi.fringilla@velfaucibusid.org,7/15/1995,1230617,5,M,Chinese
Willa,Wilcox,sem.Pellentesque.ut@aliquam.edu,9/11/1996,1075024,5,F,African American
Melissa,Ortega,ante@egestas.ca,2/7/1999,1215127,3,F,Hispanic
Serina,Butler,Praesent@variusNamporttitor.net,6/19/1999,1522071,4,F,Chinese
Hector,Boone,ut@Inmipede.com,3/15/1997,1500983,1,F,African American
Jacob,Johns,vel.convallis.in@lobortisquama.org,2/4/1998,1619079,1,M,Chinese
Jacqueline,Goff,fringilla.mi.lacinia@liberoProinmi.org,10/22/1998,1590146,3,M,Hispanic
Pamela,Buckner,erat@dictumsapien.com,12/16/1995,1374250,2,M,Chinese
Ciara,Burks,Donec.nibh.enim@acfeugiat.org,1/26/1998,1645441,5,M,Japanese
Derek,Garcia,cursus.luctus.ipsum@mauris.ca,9/28/1998,1834509,5,F,Japanese
Macey,Brewer,urna@placerataugueSed.net,5/2/1999,1580630,2,F,Korean
Nigel,Glenn,mauris.erat@Nulla.co.uk,2/16/1997,1214860,1,F,Korean
Halla,Clark,mollis.dui@In.org,11/15/1994,1021839,4,F,White
Jordan,Fischer,vitae.erat@fermentumfermentumarcu.org,11/23/1994,1998482,5,F,Korean
Emi,Hunt,cursus.purus.Nullam@velquamdignissim.org,4/20/1996,1161759,3,F,White
Ainsley,Lewis,Morbi@duiCras.edu,8/15/1994,1050274,2,F,White
Sophia,Small,Aenean@pharetra.co.uk,10/2/1994,1183571,3,F,Korean
Violet,Gibson,Sed.nec.metus@aliquetodioEtiam.com,8/10/1998,1348181,2,M,Japanese
Dean,Holman,ligula@telluslorem.org,3/5/1995,1767262,2,F,Japanese
Noah,Rocha,vel@tellus.edu,3/12/1995,1012035,5,F,White
Ira,Talley,bibendum@magna.net,4/17/1997,1944908,1,F,Japanese
Sierra,Blankenship,neque.venenatis.lacus@Suspendisse.co.uk,6/8/1998,1259715,5,F,Japanese
Alden,Nicholson,urna.Vivamus@at.net,12/19/1996,1369151,4,M,Korean
Laith,Finch,sem.molestie@Vivamus.org,4/28/1995,1463536,1,M,African American
Jameson,Woods,consectetuer@orci.com,9/6/1997,1483954,4,M,Korean
Xaviera,Miranda,mollis@nequesedsem.co.uk,9/28/1997,1439333,5,M,White
Emmanuel,Rowe,neque.In@Pellentesquehabitantmorbi.net,11/26/1998,1709712,4,M,African American
Grady,Cooke,Proin@MorbimetusVivamus.org,10/9/1997,1178890,5,M,Chinese
Rose,Rosa,lectus@porttitorscelerisque.com,4/20/1999,1365209,4,M,White
Leroy,Barlow,Nunc.pulvinar@sem.org,6/1/1998,1812941,2,F,Korean
Hunter,Higgins,Phasellus.libero@Uttinciduntvehicula.com,10/1/1996,1645472,3,F,Chinese
Alana,Bowman,sed.facilisis.vitae@egetlacus.ca,10/4/1998,1795710,3,M,White
Neve,Hawkins,neque.In@risusat.net,12/29/1997,1679126,5,F,Japanese
Sigourney,Aguilar,cursus.vestibulum.Mauris@lobortismaurisSuspendisse.edu,12/2/1996,1820915,2,F,Chinese
Nell,Harvey,lorem.fringilla@Vivamussitamet.edu,7/7/1997,1860550,3,M,African American
Raymond,Chan,Vestibulum.ante.ipsum@in.ca,3/22/1999,1975828,1,M,African American
Cailin,Bradshaw,Sed.nulla.ante@massa.ca,1/20/1999,1195964,5,M,Korean
Stuart,Arnold,dolor.Fusce.mi@lacuspedesagittis.edu,11/14/1996,1674173,5,M,Chinese
Upton,Wise,enim.Mauris@tempus.ca,9/26/1996,1254352,2,F,Korean
Isaac,Warren,Suspendisse@consequatauctor.net,7/27/1994,1479465,1,M,White
Knox,Mckinney,lacus.Nulla@feugiat.org,8/3/1996,1723694,4,M,Korean
Sheila,Noel,Donec.tincidunt@dolorelit.org,5/6/1997,1969554,2,M,Chinese
Brennan,Walters,augue.Sed.molestie@nibh.co.uk,8/9/1994,1712232,3,F,Korean
Maite,Logan,volutpat.Nulla.dignissim@rhoncusDonecest.net,10/27/1997,1427094,1,M,White
Wylie,Collier,Nunc.sed@facilisiSedneque.ca,10/23/1996,1588226,2,F,Japanese
Melyssa,Vasquez,eu.ultrices@ipsumacmi.org,7/23/1997,1742705,5,M,Chinese
Florence,Logan,Nulla.semper@vitaenibhDonec.net,8/18/1998,1884567,4,M,Hispanic
Cally,Mccormick,a@disparturient.com,9/29/1996,1032419,1,M,Hispanic
Aurora,Foley,ante@placerat.net,4/2/1999,1671935,1,F,Hispanic
Orson,Burnett,consequat@Suspendisse.net,5/2/1995,1053201,5,F,White
Madonna,Shaffer,augue.Sed.molestie@luctus.org,11/19/1994,1577797,4,M,Japanese
Ezekiel,Eaton,orci.lobortis.augue@atpede.ca,1/10/1996,1837504,4,F,Korean
Ann,Barry,non@malesuada.com,2/28/1997,1054225,2,M,Japanese
Eric,Good,ullamcorper@eratvitae.ca,4/3/1996,1344770,4,M,Chinese
Melanie,Mclaughlin,lorem@velvulputateeu.net,4/4/1998,1660168,4,F,Japanese
Iris,Henson,nulla.In@Nulla.org,4/8/1997,1877886,4,M,Hispanic
Paula,Lambert,libero.est@volutpat.com,10/22/1996,1296421,3,M,Hispanic
Ginger,Snyder,Duis.mi.enim@rutrumurnanec.net,7/30/1996,1256757,1,M,White
Denise,Gibbs,feugiat.metus@Duis.ca,3/7/1995,1867347,3,F,Chinese
Colton,Boyer,Integer.urna.Vivamus@ac.edu,11/15/1996,1542840,3,F,Hispanic
Daria,Ellison,urna.suscipit@eunibhvulputate.ca,10/11/1994,1537386,4,M,African American
Illana,Wilder,vel.turpis.Aliquam@SedmolestieSed.org,3/16/1997,1309150,2,F,Chinese
Troy,Solomon,ultricies@miloremvehicula.edu,3/17/1998,1137190,5,F,African American
Cadman,York,in@sollicitudinamalesuada.net,9/5/1994,1823952,3,M,Japanese
Phillip,Leblanc,quis.massa@Phasellus.ca,6/11/1996,1251394,5,F,Chinese
Hadley,Shepard,at.augue.id@vitaemauris.ca,7/12/1994,1150151,2,M,Chinese
Octavia,Miller,Cras@nequevitae.org,9/26/1995,1367238,4,F,Korean
Dustin,Phillips,at.libero.Morbi@luctuset.edu,1/12/1995,1908681,5,M,Korean
Hollee,Whitfield,porttitor.tellus@Curabitur.co.uk,10/7/1996,1690355,2,F,Chinese
Lunea,Griffith,eu@Proinvelnisl.org,4/10/1997,1109744,4,F,Hispanic
Keiko,Terry,ipsum.primis.in@Etiam.net,3/2/1995,1554320,1,F,White
Cassidy,Figueroa,aliquet.Phasellus.fermentum@QuisquevariusNam.org,2/6/1998,1675369,3,M,Chinese
Ryder,Ellison,lectus.Cum@luctusvulputatenisi.com,7/1/1996,1783974,3,M,Chinese
Cullen,Mcconnell,et.magnis.dis@auguemalesuada.ca,11/7/1995,1805760,1,F,Korean
Dylan,Young,Nunc.lectus.pede@ami.edu,11/9/1998,1476037,2,M,Korean
Guinevere,Frazier,enim.consequat@Morbi.ca,11/20/1996,1368847,1,F,Hispanic
Daria,Reeves,Curabitur.vel.lectus@commodotincidunt.co.uk,2/8/1998,1019070,5,M,Hispanic
Lee,Hebert,iaculis.nec@sodaleselit.com,4/18/1995,1569475,2,M,Chinese
Zorita,Carver,lorem.sit@at.org,6/13/1998,1850760,5,M,White
Philip,Nicholson,conubia.nostra.per@Vestibulumante.co.uk,7/4/1997,1788473,1,M,Korean
Damon,Bradford,metus.facilisis.lorem@Morbisit.org,11/24/1995,1955991,5,M,Japanese
Clark,Cortez,libero.at.auctor@nec.com,11/15/1998,1124985,2,F,White
Zenia,Holcomb,felis.eget.varius@nuncrisus.net,2/13/1995,1911227,3,M,White
Elijah,Mcmahon,vulputate.lacus.Cras@odio.edu,7/6/1996,1741184,2,F,Japanese
Jael,Curry,vel.turpis@egestas.com,12/27/1996,1697151,5,F,White
Cullen,Acosta,scelerisque.dui@enimEtiam.ca,9/12/1996,1390560,2,M,White
Kennan,Stephens,blandit.at.nisi@Aliquam.ca,3/12/1996,1603836,5,M,Japanese
Hanae,Richmond,Curabitur.ut.odio@nascetur.ca,5/11/1998,1114746,1,M,White
Sonya,Riggs,ipsum@Fuscefeugiat.co.uk,4/20/1997,1516974,1,M,Chinese
Allen,Armstrong,mauris@Pellentesqueultriciesdignissim.co.uk,8/29/1997,1652523,3,F,White
Herrod,Phillips,magna.a.tortor@posuere.co.uk,12/2/1994,1905659,4,F,African American
Hiram,Valencia,dolor.Quisque@odioa.net,11/10/1998,1268739,5,M,Chinese
Chandler,Leach,tellus.imperdiet@etultricesposuere.co.uk,10/26/1997,1192855,2,F,Chinese
Maile,Hancock,eget.varius@utnulla.ca,8/2/1996,1104322,4,F,White
Tanisha,Martinez,gravida.molestie@Phasellus.ca,1/8/1996,1753057,1,M,African American
Leila,Bray,natoque@mauris.co.uk,7/30/1994,1514928,5,F,Chinese
Emma,Perkins,velit@ultricesposuere.org,11/4/1996,1694292,5,M,Korean
Melissa,Frye,ut@antelectus.net,9/19/1998,1879101,3,M,Japanese
Robert,Jacobson,pulvinar@feugiatLorem.com,1/24/1997,1478273,3,F,White
Justina,Cantu,leo.Cras.vehicula@euarcu.org,8/26/1997,1996654,5,F,Hispanic
Barclay,Torres,Duis@eueleifendnec.org,7/17/1995,1093189,4,M,Hispanic
Dustin,Mooney,ligula@sociisnatoque.co.uk,10/4/1998,1320883,3,M,White
Paula,Matthews,ac@ac.co.uk,4/7/1997,1517305,1,M,African American
Rudyard,Ramos,lobortis.quis.pede@nuncidenim.com,6/13/1998,1129252,1,M,African American
Lilah,Sparks,odio.Etiam@iaculis.edu,2/12/1995,1080284,4,F,Chinese
Richard,Collier,Quisque.nonummy.ipsum@perinceptoshymenaeos.org,6/17/1996,1359791,1,M,Korean
Xavier,Snyder,ipsum@ornare.edu,5/3/1995,1171185,2,M,Chinese
Xander,Contreras,metus.In.nec@sed.ca,9/1/1996,1084782,5,M,Hispanic
Plato,Forbes,mi@atauctorullamcorper.org,6/8/1997,1325559,2,M,Chinese
Honorato,Stokes,sem@ultricesmaurisipsum.com,10/11/1995,1772657,3,M,African American
Clark,Massey,Mauris.vel.turpis@tellussemmollis.co.uk,9/27/1994,1142190,1,F,Korean
Demetrius,Hebert,tortor.dictum@fringillapurus.org,4/30/1999,1532820,4,M,African American
Brent,Whitney,dolor@duisemper.co.uk,4/6/1999,1382529,4,F,Hispanic
Curran,Payne,sem.Pellentesque.ut@amet.org,4/11/1999,1566232,5,M,White
Jamal,Maynard,elit@vitaealiquet.net,3/5/1996,1630536,1,M,Japanese
Julian,Weaver,senectus.et@magna.net,11/10/1994,1443566,1,M,Japanese
Jasper,Shannon,feugiat.Lorem@disparturientmontes.co.uk,11/22/1997,1077382,2,M,Hispanic
Dillon,Nielsen,malesuada.vel.venenatis@semegestas.com,11/3/1996,1997409,3,F,Chinese
Ciara,Booker,risus@cubiliaCurae.edu,8/9/1994,1317291,5,F,Korean
Sierra,Fox,metus@adipiscingelit.com,9/18/1997,1084314,4,M,African American
Joseph,Carver,sit.amet.massa@felisullamcorper.co.uk,1/16/1995,1796147,2,M,Chinese
McKenzie,Boyer,auctor@sit.co.uk,3/4/1997,1843293,1,F,Hispanic
Cameran,Berry,egestas.ligula.Nullam@velconvallisin.ca,11/27/1996,1579987,2,F,Korean
Thor,Fischer,gravida@consectetuercursus.net,1/16/1995,1451681,4,M,Japanese
Omar,Fox,ligula.Nullam.feugiat@Sedeunibh.edu,7/2/1995,1668940,1,F,African American
Nevada,Sweeney,risus.at@Crasdolordolor.co.uk,9/16/1994,1667684,5,M,Hispanic
